Time Interval,Linear MAPE (%),KNN MAPE (%),Decision Tree MAPE (%),Random Forest MAPE (%),Gaussian Process MAPE (%),Extremely Randomized Trees MAPE (%),Neural Network MAPE (%)
300_350,11.600808381264132,12.166402347372925,13.782867527615212,10.802635293197016,21.548475161179176,9.951878529541537,32.8531647918677
300_400,12.70321867726238,9.9598925449751,10.644351097664483,10.961955145875727,7.424096559905838,10.015396775368464,16.40815692988747
300_450,11.044375123856145,9.278996756901075,8.940604780113311,9.606908242552478,12.803383561427504,8.717444018360569,17.539675708939857
300_500,10.495554695056963,6.217408521979691,6.982830742451671,7.249529924491766,5.4752116516478875,7.266456841325525,22.38200498667576
300_550,13.365443807766109,6.557056300955874,6.173931438528344,7.0075811857976875,5.09917216634961,8.093639295508096,11.739561100848158
300_600,13.29883053730711,6.831106956188619,12.774510133301192,9.793736326786453,9.034499965182203,8.731995188465497,8.25290676123505
300_650,12.801718187140528,10.642962731597272,7.277854575158535,6.765047552058964,8.949869659650425,9.24911563142265,9.477630009204972
300_700,10.297427741375403,8.623993909425954,7.374714203440499,6.669606262722648,9.656576693302405,9.22742878307952,10.995987081220889
300_750,10.658112619634915,9.0058778830641,11.839045057624968,9.525874485477091,9.051553949790572,9.766722767482365,13.172852466950749
300_800,8.63182604468961,7.148527401843993,7.1961141209083115,6.804044384321692,7.17318088584383,8.685263010947809,10.461167269158942
