Time Interval,Linear MAPE (%),KNN MAPE (%),Decision Tree MAPE (%),Random Forest MAPE (%),Gaussian Process MAPE (%),Extremely Randomized Trees MAPE (%),Neural Network MAPE (%)
300_350,12.62287807390793,5.6257375303482915,13.331550502364411,9.517783953553325,8.847350444753884,7.159488665867193,15.99856244822518
300_400,15.724039162138517,5.697928677935284,9.654042866054295,8.79591124351222,13.858782327060176,7.901927139819763,17.312886098591314
300_450,12.226830443214531,4.926688816005852,7.699235670591777,7.125850234065463,11.000711162353168,7.1946995137561265,12.137940606491426
300_500,13.578075454653488,5.069599031670404,5.85182621237868,5.5772921139305245,12.884066333212518,6.919041766729259,15.242425175414025
300_550,17.054845471187424,5.60825579119366,6.910243256629481,6.648681330432736,17.610267697787425,6.596976701989295,15.364853775705129
300_600,12.183380970518048,5.535996631465982,9.04607542805123,8.291941162046395,8.834418791442562,7.361742273512608,10.994330014212592
300_650,11.586674116481285,5.2881262843715175,5.546400073530034,5.604633423137863,9.289881394859895,7.520631219312497,10.311543999996065
300_700,9.016105998517418,5.365596226856016,6.105555553222461,5.11870955909222,6.835650459565139,7.476834280648702,13.73938422378125
300_750,9.115874931656014,5.4871538251357075,8.754993109336851,8.423416767410362,8.712045325836863,8.006461001261092,12.221114193549347
300_800,6.468999963014064,4.9655626165720665,5.866318623060516,5.305911190296555,5.86813756601969,6.792547447011351,10.551292121766826
