Time Interval,Linear MAPE (%),KNN MAPE (%),Decision Tree MAPE (%),Random Forest MAPE (%),Gaussian Process MAPE (%),Extremely Randomized Trees MAPE (%),Neural Network MAPE (%)
300_350,13.417747223522916,5.408694459460479,10.664690917252068,7.545474176834506,17.240074571808197,6.882674537829961,15.929436724301658
300_400,15.66990956275513,5.352871086021213,9.89275673073989,8.609056725223194,12.580340744986698,7.703202103549989,15.619157214459372
300_450,12.144599292426097,5.266689334867889,8.180764700719477,7.084630024590021,12.855795337790937,6.9290702371102935,13.241854151124787
300_500,13.918998205850514,4.61730565114742,5.512665152123207,5.504842502637021,15.135729513651158,6.536140136944776,12.443149815811545
300_550,16.968864913284936,5.309999814311388,6.9952264953710275,6.707242953519701,18.052983570887093,6.502980924403609,16.388103298861786
300_600,12.21887450475944,5.165011021140763,9.323837897743076,8.308940252298411,9.073333392961004,7.399789005853952,10.023630301563065
300_650,11.556106953850732,5.314723124897309,7.254749369334959,5.593415240408602,10.056414329116112,7.625538887920152,11.344296648610062
300_700,9.338058910505927,4.944944143761717,6.372068733687633,5.312216245219762,6.150138947930777,7.445968739456058,13.578601445731781
300_750,9.54182302161144,5.63406425218537,7.667281231024833,8.202082279647145,8.786322261258032,7.517779208952591,12.215956784073095
300_800,6.642228771774004,4.677214830784339,5.738053488887327,5.2668208757369595,5.7534873054046125,6.403327771267289,11.30586658057143
